sms_id,SMS_texte,SMS_profondeur_arbre_max,SMS_profondeur_arbre_moy,SMS_distance_dependance_max,SMS_distance_dependance_moy,SMS_distance_dependance_var,SMS_nb_dependances_moy_phrase,SMS_nb_dependances_var_phrase,SMS_nb_phrases,SMS_nb_tokens,Transcodage_1_texte,Transcodage_1_profondeur_arbre_max,Transcodage_1_profondeur_arbre_moy,Transcodage_1_distance_dependance_max,Transcodage_1_distance_dependance_moy,Transcodage_1_distance_dependance_var,Transcodage_1_nb_dependances_moy_phrase,Transcodage_1_nb_dependances_var_phrase,Transcodage_1_nb_phrases,Transcodage_1_nb_tokens,Transcodage_2_texte,Transcodage_2_profondeur_arbre_max,Transcodage_2_profondeur_arbre_moy,Transcodage_2_distance_dependance_max,Transcodage_2_distance_dependance_moy,Transcodage_2_distance_dependance_var,Transcodage_2_nb_dependances_moy_phrase,Transcodage_2_nb_dependances_var_phrase,Transcodage_2_nb_phrases,Transcodage_2_nb_tokens,divergence_score
328,Cc <SUR_6> ça va ? Kes tfai moi look un film ... Bisoussss,5.0,3.3333333333333335,5.0,1.6428571428571428,1.2295918367346934,4.666666666666667,11.555555555555557,3.0,17.0,Coucou <SUR_6> ça va ? Qu'est ce que tu fais moi je regarde un film... Bisous,7.0,4.0,5.0,1.85,1.0275,6.666666666666667,32.888888888888886,3.0,23.0,Coucou <SUR_6> ça va ? Qu'est ce que tu fais moi je look un film... Bisous,7.0,4.0,5.0,1.85,1.0275,6.666666666666667,32.888888888888886,3.0,23.0,2.2071428571428573
329,Tu fais quoi ?,2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Tu fais quoi ?,2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Tu fais quoi ?,2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,0.0
330,Julie ??,2.0,2.0,2.0,1.5,0.25,2.0,0.0,1.0,3.0,Julie ??,2.0,2.0,2.0,1.5,0.25,2.0,0.0,1.0,3.0,Julie ??,2.0,2.0,2.0,1.5,0.25,2.0,0.0,1.0,3.0,0.0
331,Je pige pas la ?,2.0,2.0,3.0,1.75,0.6875,4.0,0.0,1.0,5.0,Je pige pas là ?,2.0,2.0,3.0,1.75,0.6875,4.0,0.0,1.0,5.0,Je pige pas là ?,2.0,2.0,3.0,1.75,0.6875,4.0,0.0,1.0,5.0,0.0
332,Aussi!,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Aussi !,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Aussi !,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
333,Ahh ^^ ok ^^,5.0,5.0,2.0,1.2,0.16,5.0,0.0,1.0,6.0,Ahh ^^ OK ^^,5.0,5.0,2.0,1.2,0.16,5.0,0.0,1.0,6.0,Ah ^^ O.K. ^^,4.0,3.0,3.0,1.8571428571428572,0.6938775510204082,3.5,6.25,2.0,9.0,3.6571428571428575
334,Sa coute 35 centimes sa nike le credit ^^ >p,4.0,4.0,4.0,1.9090909090909092,0.9917355371900826,11.0,0.0,1.0,12.0,Ça coûte 35 centimes ça nique le crédit ^^ >p,4.0,4.0,4.0,1.9090909090909092,0.9917355371900826,11.0,0.0,1.0,12.0,Ça coûte 35 centimes ça nique le crédit ^^ >p,4.0,4.0,4.0,1.9090909090909092,0.9917355371900826,11.0,0.0,1.0,12.0,0.0
335,"Ok
tu as de l attnte??",4.0,4.0,5.0,2.142857142857143,1.836734693877551,7.0,0.0,1.0,8.0,O.K. tu as de l'attente ??,5.0,4.0,6.0,2.3,2.6100000000000003,5.0,4.0,2.0,12.0,O.K. tu as de l'attente ??,5.0,4.0,6.0,2.3,2.6100000000000003,5.0,4.0,2.0,12.0,3.157142857142857
336,Ouai donc non j'en ai envoyer 2 ou 3 fois ^^ et toi ?,5.0,5.0,9.0,3.625,5.234375,16.0,0.0,1.0,17.0,Ouais donc non j'en ai envoyé 2 ou 3 fois ^^ et toi ?,4.0,4.0,9.0,3.625,5.234375,16.0,0.0,1.0,17.0,Ouais donc non j'en ai envoyé 2 ou 3 fois ^^ et toi ?,4.0,4.0,9.0,3.625,5.234375,16.0,0.0,1.0,17.0,1.0
337,Ouai la je viens d'allumer ^^,4.0,4.0,3.0,1.625,0.734375,8.0,0.0,1.0,9.0,Ouais là je viens d'allumer ^^,4.0,4.0,3.0,1.75,0.6875,8.0,0.0,1.0,9.0,Ouais là je viens d'allumer ^^,4.0,4.0,3.0,1.75,0.6875,8.0,0.0,1.0,9.0,0.125
338,Tu gere,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Tu gères,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Tu gères,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
339,Moi pareil,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Moi pareil,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,Moi pareil,2.0,2.0,1.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0
340,Oki,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,O.K.,3.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,1.0,4.0,O.K.,3.0,3.0,3.0,2.0,0.6666666666666666,3.0,0.0,1.0,4.0,7.0
341,Ouai tkt :),2.0,2.0,2.0,1.3333333333333333,0.2222222222222222,3.0,0.0,1.0,4.0,Ouais  t'inquiète :),3.0,3.0,3.0,2.0,0.4,5.0,0.0,1.0,6.0,Ouais t'inquiète :),3.0,3.0,3.0,2.0,0.4,5.0,0.0,1.0,6.0,2.666666666666667
