corpus,feature,modele_1,modele_2,pearson_r,p_value,n
Transcodage_1,distance_dependance_var,fsmb,stanza,0.8395,7.04873052477806e-267,1001
Transcodage_1,distance_dependance_var,sequoia,rhapsodie,0.8437,3.6286688658048687e-272,1001
Transcodage_1,distance_dependance_var,sequoia,zenodo-spoken,0.8752,2.1642467e-317,1001
Transcodage_1,distance_dependance_var,sequoia,stanza,0.8105,2.652016921052136e-234,1001
Transcodage_1,distance_dependance_var,rhapsodie,zenodo-spoken,0.8942,0.0,1001
Transcodage_1,distance_dependance_var,rhapsodie,stanza,0.8193,1.3562492442835031e-243,1001
Transcodage_1,distance_dependance_var,zenodo-spoken,stanza,0.8475,5.407654256640479e-277,1001
Transcodage_1,nb_dependances_moy_phrase,gsd,fsmb,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,gsd,sequoia,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,gsd,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,gsd,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,gsd,stanza,0.9192,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,fsmb,sequoia,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,fsmb,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,fsmb,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,fsmb,stanza,0.9192,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,sequoia,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,sequoia,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,sequoia,stanza,0.9192,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,rhapsodie,stanza,0.9192,0.0,1001
Transcodage_1,nb_dependances_moy_phrase,zenodo-spoken,stanza,0.9192,0.0,1001
Transcodage_1,nb_dependances_var_phrase,gsd,fsmb,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,gsd,sequoia,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,gsd,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,gsd,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,gsd,stanza,0.8084,4.131465252238958e-232,1001
Transcodage_1,nb_dependances_var_phrase,fsmb,sequoia,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,fsmb,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,fsmb,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,fsmb,stanza,0.8084,4.131465252238958e-232,1001
Transcodage_1,nb_dependances_var_phrase,sequoia,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,sequoia,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,sequoia,stanza,0.8084,4.131465252238958e-232,1001
Transcodage_1,nb_dependances_var_phrase,rhapsodie,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_dependances_var_phrase,rhapsodie,stanza,0.8084,4.131465252238958e-232,1001
Transcodage_1,nb_dependances_var_phrase,zenodo-spoken,stanza,0.8084,4.131465252238958e-232,1001
Transcodage_1,nb_phrases,gsd,fsmb,1.0,0.0,1001
Transcodage_1,nb_phrases,gsd,sequoia,1.0,0.0,1001
Transcodage_1,nb_phrases,gsd,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_phrases,gsd,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_phrases,gsd,stanza,0.9571,0.0,1001
Transcodage_1,nb_phrases,fsmb,sequoia,1.0,0.0,1001
Transcodage_1,nb_phrases,fsmb,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_phrases,fsmb,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_phrases,fsmb,stanza,0.9571,0.0,1001
Transcodage_1,nb_phrases,sequoia,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_phrases,sequoia,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_phrases,sequoia,stanza,0.9571,0.0,1001
Transcodage_1,nb_phrases,rhapsodie,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_phrases,rhapsodie,stanza,0.9571,0.0,1001
Transcodage_1,nb_phrases,zenodo-spoken,stanza,0.9571,0.0,1001
Transcodage_1,nb_tokens,gsd,fsmb,1.0,0.0,1001
Transcodage_1,nb_tokens,gsd,sequoia,1.0,0.0,1001
Transcodage_1,nb_tokens,gsd,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_tokens,gsd,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_tokens,gsd,stanza,0.9956,0.0,1001
Transcodage_1,nb_tokens,fsmb,sequoia,1.0,0.0,1001
Transcodage_1,nb_tokens,fsmb,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_tokens,fsmb,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_tokens,fsmb,stanza,0.9956,0.0,1001
Transcodage_1,nb_tokens,sequoia,rhapsodie,1.0,0.0,1001
Transcodage_1,nb_tokens,sequoia,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_tokens,sequoia,stanza,0.9956,0.0,1001
Transcodage_1,nb_tokens,rhapsodie,zenodo-spoken,1.0,0.0,1001
Transcodage_1,nb_tokens,rhapsodie,stanza,0.9956,0.0,1001
Transcodage_1,nb_tokens,zenodo-spoken,stanza,0.9956,0.0,1001
Transcodage_2,profondeur_arbre_max,gsd,fsmb,0.8526,4.806648444743529e-283,998
Transcodage_2,profondeur_arbre_max,gsd,sequoia,0.9079,0.0,998
Transcodage_2,profondeur_arbre_max,gsd,rhapsodie,0.8664,1.227406528619287e-302,998
Transcodage_2,profondeur_arbre_max,gsd,zenodo-spoken,0.8732,3.15260444513e-313,998
Transcodage_2,profondeur_arbre_max,gsd,stanza,0.8895,0.0,998
Transcodage_2,profondeur_arbre_max,fsmb,sequoia,0.8612,4.792634635502488e-295,998
Transcodage_2,profondeur_arbre_max,fsmb,rhapsodie,0.8032,2.4244208731305743e-226,998
Transcodage_2,profondeur_arbre_max,fsmb,zenodo-spoken,0.8277,4.2537733742199832e-252,998
Transcodage_2,profondeur_arbre_max,fsmb,stanza,0.8442,5.380976470478013e-272,998
Transcodage_2,profondeur_arbre_max,sequoia,rhapsodie,0.8619,4.4681679372422107e-296,998
Transcodage_2,profondeur_arbre_max,sequoia,zenodo-spoken,0.8722,1.240663321936e-311,998
Transcodage_2,profondeur_arbre_max,sequoia,stanza,0.8906,0.0,998
Transcodage_2,profondeur_arbre_max,rhapsodie,zenodo-spoken,0.8922,0.0,998
Transcodage_2,profondeur_arbre_max,rhapsodie,stanza,0.8469,1.730561577563765e-275,998
